C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	P_l_hyaw	P_l_hrol	P_l_hpit	P_l_knee	P_l_apit	P_r_hyaw	P_r_hrol	P_r_hpit	P_r_knee	P_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	T_l_hyaw	T_l_hrol	T_l_hpit	T_l_knee	T_l_apit	T_r_hyaw	T_r_hrol	T_r_hpit	T_r_knee	T_r_apit	rol	pit	yaw	rol_rate	pit_rate	yaw_rate	x_acc	y_acc	z_acc	w_quat	x_quat	y_quat	z_quat	
0.419987	-0.109797	-1.530441	0.996035	-1.296539	-0.423468	0.106546	1.529054	-0.995258	1.297676	0.419987	-0.109797	-1.530441	0.996035	-1.296539	-0.423468	0.106546	1.529054	-0.995258	1.297676	0.108566	-0.016802	-0.019387	-0.058161	-0.027142	0.007755	0.005170	-0.038774	-0.027142	0.058161	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.027440	0.277375	-4.722080	-0.011403	0.024641	0.005689	-2.705738	0.260650	9.439594	1.000000	0.000000	0.000000	0.000000	
0.438809	-0.090976	-1.511620	1.014856	-1.277717	-0.404647	0.125367	1.547876	-0.976437	1.316498	0.419987	-0.109797	-1.530441	0.996035	-1.296539	-0.423468	0.106546	1.529054	-0.995258	1.297676	0.108566	-0.016802	-0.019387	-0.058161	-0.027142	0.007755	0.005170	-0.038774	-0.027142	0.058161	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.027319	0.277784	-4.721954	-0.009006	0.021002	0.005334	-2.740412	0.259454	9.407312	1.000000	0.000000	0.000000	0.000000	
0.457463	-0.072321	-1.492965	1.033511	-1.259063	-0.385992	0.144022	1.566531	-0.957782	1.335152	0.419926	-0.109787	-1.530441	0.996065	-1.296509	-0.423499	0.106546	1.529085	-0.995228	1.297646	-0.011632	-0.006462	-0.023264	0.027142	0.027142	-0.046528	0.002585	0.003877	0.038774	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.027228	0.278136	-4.721817	-0.008207	0.016652	0.005867	-2.712912	0.215216	9.383398	1.000000	0.000000	0.000000	0.000000	
0.475785	-0.053999	-1.474643	1.051833	-1.240741	-0.367670	0.162344	1.584853	-0.939460	1.353474	0.419926	-0.109787	-1.530381	0.996095	-1.296509	-0.423347	0.106535	1.529115	-0.995258	1.297646	-0.015509	0.005170	0.096934	0.023264	0.042651	0.077547	-0.006462	0.042651	-0.003877	-0.003877	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.027228	0.278136	-4.721817	-0.008207	0.016652	0.005867	-2.712912	0.215216	9.383398	1.000000	0.000000	0.000000	0.000000	
0.493612	-0.036172	-1.456816	1.069659	-1.222914	-0.349844	0.180170	1.602679	-0.921633	1.371301	0.419926	-0.109787	-1.530381	0.996095	-1.296509	-0.423347	0.106535	1.529115	-0.995258	1.297646	-0.015509	0.005170	0.096934	0.023264	0.042651	0.077547	-0.006462	0.042651	-0.003877	-0.003877	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.027309	0.278693	-4.720809	-0.020280	0.049675	0.090999	-2.335089	1.376184	9.391768	1.000000	0.000000	0.000000	0.000000	
0.510785	-0.018999	-1.439643	1.086833	-1.205741	-0.332670	0.197344	1.619853	-0.904460	1.388474	0.427590	-0.108636	-1.531926	0.999579	-1.291783	-0.423347	0.109958	1.543594	-0.987776	1.302220	0.290803	0.049113	-0.089180	0.147340	0.252029	0.038774	0.156387	0.666908	0.438143	0.151217	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.025740	0.281609	-4.718313	-0.194806	0.242044	0.118519	-2.323133	0.968470	8.554819	1.000000	0.000000	0.000000	0.000000	
0.527152	-0.002632	-1.423276	1.103200	-1.189373	-0.316303	0.213711	1.636220	-0.888093	1.404841	0.441161	-0.103991	-1.528169	1.009545	-1.282847	-0.419258	0.116784	1.561951	-0.977053	1.311065	0.589360	0.248152	0.124076	0.473039	0.395492	0.286925	0.306312	0.825880	0.531200	0.414879	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.025740	0.281609	-4.718313	-0.194806	0.242044	0.118519	-2.323133	0.968470	8.554819	1.000000	0.000000	0.000000	0.000000	
0.542568	0.012784	-1.407860	1.118616	-1.173957	-0.300887	0.229127	1.651636	-0.872677	1.420257	0.441161	-0.103991	-1.528169	1.009545	-1.282847	-0.419258	0.116784	1.561951	-0.977053	1.311065	0.589360	0.248152	0.124076	0.473039	0.395492	0.286925	0.306312	0.825880	0.531200	0.414879	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021716	0.287358	-4.715786	-0.277009	0.343688	0.152341	-3.125408	0.832167	9.373834	1.000000	0.000000	0.000000	0.000000	
0.556896	0.027112	-1.393532	1.132944	-1.159629	-0.286559	0.243455	1.665964	-0.858349	1.434585	0.462578	-0.093005	-1.513114	1.031961	-1.262975	-0.404899	0.129355	1.591032	-0.957726	1.330209	0.949956	0.502766	0.527322	0.899550	0.678540	0.612624	0.544124	1.112805	0.930569	0.666908	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.015763	0.292408	-4.711494	-0.397650	0.232279	0.222559	-3.420732	-0.098043	9.290138	1.000000	0.000000	0.000000	0.000000	
0.570009	0.040225	-1.380419	1.146057	-1.146517	-0.273446	0.256568	1.679077	-0.845236	1.447698	0.487265	-0.079788	-1.494515	1.052529	-1.242801	-0.386330	0.143603	1.616901	-0.938855	1.349899	0.961588	0.526030	0.709559	0.682417	0.674662	0.651398	0.560926	0.825880	0.736700	0.705681	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008868	0.294803	-4.707592	-0.366757	0.039377	0.168764	-3.375298	-0.147064	9.364269	1.000000	0.000000	0.000000	0.000000	
