C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	P_l_hyaw	P_l_hrol	P_l_hpit	P_l_knee	P_l_apit	P_r_hyaw	P_r_hrol	P_r_hpit	P_r_knee	P_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	T_l_hyaw	T_l_hrol	T_l_hpit	T_l_knee	T_l_apit	T_r_hyaw	T_r_hrol	T_r_hpit	T_r_knee	T_r_apit	rol	pit	yaw	rol_rate	pit_rate	yaw_rate	x_acc	y_acc	z_acc	w_quat	x_quat	y_quat	z_quat	
0.343602	-0.186455	-1.606947	0.918862	-1.378831	-0.500793	0.030049	1.452881	-1.071461	1.221109	0.534339	-0.002059	-1.480975	1.088001	-1.208480	-0.343619	0.223038	1.633350	-0.902807	1.389976	-1.279532	-0.797446	-1.508297	-1.442382	-1.174843	-1.244636	-0.781936	-1.395853	-1.283409	-1.174843	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.039490	0.273838	-4.469237	0.793316	-0.111713	-0.103056	-3.647904	1.281728	9.219596	1.000000	0.000000	0.000000	0.000000	
0.318330	-0.211726	-1.632219	0.893590	-1.404102	-0.526064	0.004778	1.427610	-1.096733	1.195838	0.534339	-0.002059	-1.480975	1.088001	-1.208480	-0.343619	0.223038	1.633350	-0.902807	1.389976	-1.279532	-0.797446	-1.508297	-1.442382	-1.174843	-1.244636	-0.781936	-1.395853	-1.283409	-1.174843	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.055375	0.270970	-4.474404	0.892474	-0.155122	-0.308652	-1.608139	1.567487	8.987641	1.000000	0.000000	0.000000	0.000000	
0.295090	-0.234967	-1.655459	0.870350	-1.427343	-0.549304	-0.018462	1.404370	-1.119973	1.172597	0.490900	-0.029211	-1.528351	1.043078	-1.252555	-0.387754	0.197038	1.588154	-0.943641	1.348900	-1.694411	-1.093418	-1.578089	-1.570335	-1.353202	-1.531561	-1.041720	-1.512174	-1.496665	-1.454014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.070704	0.270631	-4.481799	0.835216	-0.077802	-0.344694	-2.396067	1.359445	9.031880	1.000000	0.000000	0.000000	0.000000	
0.274345	-0.255712	-1.676205	0.849605	-1.448088	-0.570050	-0.039208	1.383624	-1.140719	1.151852	0.451188	-0.056271	-1.565792	1.007334	-1.288148	-0.426407	0.169098	1.547805	-0.980446	1.310883	-1.442382	-1.053352	-1.271777	-1.174843	-1.229126	-1.454014	-1.101173	-1.291164	-1.422995	-1.267900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.070704	0.270631	-4.481799	0.835216	-0.077802	-0.344694	-2.396067	1.359445	9.031880	1.000000	0.000000	0.000000	0.000000	
0.256509	-0.273548	-1.694041	0.831769	-1.465924	-0.587886	-0.057044	1.365788	-1.158555	1.134016	0.451188	-0.056271	-1.565792	1.007334	-1.288148	-0.426407	0.169098	1.547805	-0.980446	1.310883	-1.442382	-1.053352	-1.271777	-1.174843	-1.229126	-1.454014	-1.101173	-1.291164	-1.422995	-1.267900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.083137	0.271107	-4.489222	0.652168	-0.009980	-0.396980	-1.746833	1.489770	9.437202	1.000000	0.000000	0.000000	0.000000	
0.241937	-0.288120	-1.708612	0.817197	-1.480495	-0.602457	-0.071615	1.351217	-1.173126	1.119445	0.407779	-0.090330	-1.610109	0.964955	-1.331011	-0.468331	0.138069	1.504185	-1.020128	1.268717	-1.601354	-1.231711	-1.349325	-1.426872	-1.380344	-1.581967	-1.256268	-1.543193	-1.655637	-1.543193	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093208	0.274280	-4.498997	0.647907	0.172180	-0.520906	-2.751172	3.064431	8.846556	1.000000	0.000000	0.000000	0.000000	
0.230921	-0.299135	-1.719628	0.806182	-1.491511	-0.613473	-0.082631	1.340201	-1.184142	1.108429	0.370460	-0.118541	-1.642158	0.932937	-1.364514	-0.503379	0.108605	1.470015	-1.052631	1.235608	-1.322183	-1.145116	-1.081786	-1.209739	-1.333815	-1.411363	-1.220079	-1.186475	-1.209739	-1.298919	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093208	0.274280	-4.498997	0.647907	0.172180	-0.520906	-2.751172	3.064431	8.846556	1.000000	0.000000	0.000000	0.000000	
0.223681	-0.300000	-1.726868	0.798941	-1.498752	-0.620713	-0.089871	1.332960	-1.191382	1.101188	0.370460	-0.118541	-1.642158	0.932937	-1.364514	-0.503379	0.108605	1.470015	-1.052631	1.235608	-1.322183	-1.145116	-1.081786	-1.209739	-1.333815	-1.411363	-1.220079	-1.186475	-1.209739	-1.298919	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.101045	0.281101	-4.516165	0.324333	0.182389	-0.612430	-2.277698	0.858471	9.208836	1.000000	0.000000	0.000000	0.000000	
0.220360	-0.300000	-1.730189	0.795621	-1.502072	-0.624034	-0.093192	1.329640	-1.194703	1.097868	0.337017	-0.148621	-1.677297	0.898101	-1.401289	-0.539759	0.076698	1.433695	-1.090072	1.197652	-1.357080	-1.274362	-1.186475	-1.256268	-1.422995	-1.345447	-1.310551	-1.283409	-1.345447	-1.329938	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.102057	0.287195	-4.530146	0.173066	0.218164	-0.722507	-2.781064	3.242581	9.761222	1.000000	0.000000	0.000000	0.000000	
0.221026	-0.300000	-1.729523	0.796286	-1.501407	-0.623368	-0.092527	1.330305	-1.194037	1.098533	0.304787	-0.178550	-1.704802	0.867839	-1.430823	-0.571838	0.046981	1.407553	-1.118001	1.168753	-1.136069	-1.096003	-0.810370	-1.070154	-1.035258	-1.070154	-1.083079	-0.814248	-1.031380	-1.066277	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.102057	0.287195	-4.530146	0.173066	0.218164	-0.722507	-2.781064	3.242581	9.761222	1.000000	0.000000	0.000000	0.000000	
