C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	P_l_hyaw	P_l_hrol	P_l_hpit	P_l_knee	P_l_apit	P_r_hyaw	P_r_hrol	P_r_hpit	P_r_knee	P_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	T_l_hyaw	T_l_hrol	T_l_hpit	T_l_knee	T_l_apit	T_r_hyaw	T_r_hrol	T_r_hpit	T_r_knee	T_r_apit	rol	pit	yaw	rol_rate	pit_rate	yaw_rate	x_acc	y_acc	z_acc	w_quat	x_quat	y_quat	z_quat	
0.244939	-0.285380	-1.705641	0.818957	-1.477554	-0.599516	-0.068674	1.353825	-1.170155	1.122416	0.493778	-0.044680	-1.538408	1.039928	-1.252767	-0.381423	0.182427	1.576552	-0.945307	1.345961	-1.713797	-1.067569	-1.725430	-1.485033	-1.388098	-1.733184	-0.912474	-1.605231	-1.519929	-1.512174	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.002880	0.278830	-4.247006	2.556772	-0.147843	0.373561	-3.619208	-2.033787	7.526567	1.000000	0.000000	0.000000	0.000000	
0.229989	-0.300000	-1.720591	0.804007	-1.492505	-0.614466	-0.083625	1.338874	-1.185105	1.107466	0.445069	-0.076617	-1.593812	0.990158	-1.302718	-0.434586	0.150540	1.520058	-0.995076	1.293768	-1.930930	-1.335108	-2.283771	-2.237242	-1.760326	-2.109289	-1.360957	-1.946440	-2.043374	-1.872770	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.002880	0.278830	-4.247006	2.556772	-0.147843	0.373561	-3.619208	-2.033787	7.526567	1.000000	0.000000	0.000000	0.000000	
0.221776	-0.300000	-1.728803	0.795795	-1.500717	-0.622679	-0.091837	1.330662	-1.193317	1.099253	0.394451	-0.109918	-1.641431	0.946205	-1.349641	-0.484658	0.118258	1.475741	-1.036243	1.249905	-1.958072	-1.338985	-1.508297	-1.461768	-1.725430	-1.930930	-1.358372	-1.578089	-1.721552	-1.682778	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.051740	0.276132	-4.240920	2.593257	-0.139676	0.323848	-2.783455	2.619652	10.538389	1.000000	0.000000	0.000000	0.000000	
0.220594	-0.300000	-1.729986	0.794612	-1.501900	-0.623862	-0.093020	1.329479	-1.194500	1.098070	0.394451	-0.109918	-1.641431	0.946205	-1.349641	-0.484658	0.118258	1.475741	-1.036243	1.249905	-1.958072	-1.338985	-1.508297	-1.461768	-1.725430	-1.930930	-1.358372	-1.578089	-1.721552	-1.682778	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.102635	0.274724	-4.235198	2.432935	-0.044246	0.230904	-1.897484	2.497696	8.325255	1.000000	0.000000	0.000000	0.000000	
0.226482	-0.300000	-1.724098	0.800500	-1.496012	-0.617973	-0.087131	1.335367	-1.188612	1.103959	0.349619	-0.143643	-1.685566	0.904159	-1.393564	-0.531792	0.083483	1.432362	-1.079924	1.205255	-1.791345	-1.459184	-1.562580	-1.667269	-1.698288	-1.861138	-1.495372	-1.566457	-1.876647	-1.636250	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.149879	0.275181	-4.232858	2.243762	0.018694	0.044572	-2.326720	4.408332	9.237531	1.000000	0.000000	0.000000	0.000000	
0.239232	-0.291087	-1.711347	0.813251	-1.483261	-0.605223	-0.074381	1.348118	-1.175861	1.116709	0.310360	-0.174763	-1.715283	0.869960	-1.430005	-0.571051	0.051333	1.401465	-1.115396	1.169087	-1.531561	-1.270485	-0.934446	-1.252390	-1.306674	-1.550948	-1.245928	-0.977097	-1.306674	-1.430749	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.149879	0.275181	-4.232858	2.243762	0.018694	0.044572	-2.326720	4.408332	9.237531	1.000000	0.000000	0.000000	0.000000	
0.258394	-0.271925	-1.692186	0.832412	-1.464099	-0.586061	-0.055219	1.367280	-1.156700	1.135871	0.310360	-0.174763	-1.715283	0.869960	-1.430005	-0.571051	0.051333	1.401465	-1.115396	1.169087	-1.531561	-1.270485	-0.934446	-1.252390	-1.306674	-1.550948	-1.245928	-0.977097	-1.306674	-1.430749	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.189193	0.276642	-4.232169	1.791024	0.090510	-0.003277	-2.463023	4.885393	9.109596	1.000000	0.000000	0.000000	0.000000	
0.283288	-0.247032	-1.667292	0.857306	-1.439206	-0.561167	-0.030326	1.392173	-1.131806	1.160764	0.279917	-0.200138	-1.732761	0.845999	-1.455208	-0.598192	0.024384	1.382229	-1.141750	1.143308	-1.077909	-0.973220	-0.538954	-0.868531	-0.918937	-1.031380	-1.075324	-0.616502	-0.938323	-0.992607	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.218904	0.278763	-4.232638	1.324172	0.100541	-0.069944	-2.661499	5.038435	8.264278	1.000000	0.000000	0.000000	0.000000	
0.313031	-0.217288	-1.637549	0.887049	-1.409462	-0.531424	-0.000582	1.421917	-1.102063	1.190508	0.279917	-0.200138	-1.732761	0.845999	-1.455208	-0.598192	0.001877	1.375535	-1.158077	1.128101	-1.077909	-0.973220	-0.538954	-0.868531	-0.918937	-1.031380	-0.796153	-0.089180	-0.620379	-0.492426	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.238756	0.280709	-4.234492	0.825717	0.067962	-0.132795	-2.947258	4.646265	8.248734	1.000000	0.000000	0.000000	0.000000	
0.346571	-0.183748	-1.604008	0.920590	-1.375922	-0.497884	0.032958	1.455457	-1.068522	1.224048	0.262711	-0.221120	-1.739032	0.830550	-1.470869	-0.616216	0.001877	1.375535	-1.158077	1.128101	-0.523445	-0.780644	-0.108566	-0.507935	-0.465284	-0.511813	-0.796153	-0.089180	-0.620379	-0.492426	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.238756	0.280709	-4.234492	0.825717	0.067962	-0.132795	-2.947258	4.646265	8.248734	1.000000	0.000000	0.000000	0.000000	
0.382720	-0.147600	-1.567860	0.956738	-1.339773	-0.461735	0.069107	1.491606	-1.032374	1.260197	0.261469	-0.231621	-1.728884	0.831852	-1.468961	-0.616701	-0.008079	1.384531	-1.158168	1.129434	0.046528	-0.391614	0.457530	0.073670	0.116321	0.038774	-0.328284	0.511813	0.127953	0.046528	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.248051	0.281714	-4.237193	0.287315	-0.036966	-0.147087	-2.550304	6.383533	8.736557	1.000000	0.000000	0.000000	0.000000	
0.420196	-0.110123	-1.530384	0.994214	-1.302297	-0.424259	0.106583	1.529082	-0.994898	1.297673	0.261469	-0.231621	-1.728884	0.831852	-1.468961	-0.616701	-0.008079	1.384531	-1.158168	1.129434	0.046528	-0.391614	0.457530	0.073670	0.116321	0.038774	-0.328284	0.511813	0.127953	0.046528	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.245312	0.281337	-4.241205	-0.260852	-0.117927	-0.213578	-1.774333	4.855502	7.807543	1.000000	0.000000	0.000000	0.000000	
